scenario,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
Double revision,VAS_CCGT_D,ALL,88.12438822,1608.93707144,12396.14974446492,251267.7024467848,238871.55270231987,140.6665055480248,156.17,,
Double revision,VAS_CCGT_D,FM,0,0,0,0,0,,,,
Double revision,VAS_CCGT_D,DAM,0,1608.93707144,0,251267.7024467848,251267.7024467848,,156.17,,
Double revision,VAS_CCGT_D,IDA1,88.12438822,0,12396.14974446492,0,-12396.14974446492,140.6665055480248,,,
Double revision,VAS_CCGT_D,IDA2,0,0,0,0,0,,,,
Double revision,VAS_CCGT_D,IDA3,0,0,0,0,0,,,,
Double revision,DKL_ST_H,ALL,0,0,0,0,0,,,,
Double revision,DKL_ST_H,FM,0,0,0,0,0,,,,
Double revision,DKL_ST_H,DAM,0,0,0,0,0,,,,
Double revision,DKL_ST_H,IDA1,0,0,0,0,0,,,,
Double revision,DKL_ST_H,IDA2,0,0,0,0,0,,,,
Double revision,DKL_ST_H,IDA3,0,0,0,0,0,,,,
Double revision,VAS_GT_D,ALL,0,0,0,0,0,,,,
Double revision,VAS_GT_D,FM,0,0,0,0,0,,,,
Double revision,VAS_GT_D,DAM,0,0,0,0,0,,,,
Double revision,VAS_GT_D,IDA1,0,0,0,0,0,,,,
Double revision,VAS_GT_D,IDA2,0,0,0,0,0,,,,
Double revision,VAS_GT_D,IDA3,0,0,0,0,0,,,,
Double revision,IND,ALL,3651.539093181,97.70374178,525338.3403359855,13460.45832210186,-511877.8820138837,143.867647841158,137.76809441352657,3816.4540459189025,320.9512523543851
Double revision,IND,FM,27.954336260999998,0,2795.4336261,0,-2795.4336261,100.0,,3816.4540459189025,320.9512523543851
Double revision,IND,DAM,3544.55362,0,510656.07296362,0,-510656.07296362,144.06780873119362,,3816.4540459189025,320.9512523543851
